intersection_uid,id,intersection_name,date_installed,date_decommissioned,lat,lng,street_main,street_cross,int_id,px,geom,n_leg_restricted,e_leg_restricted,s_leg_restricted,w_leg_restricted
10,990cd89a-430a-409a-b0e7-d37338394148,King / Bathurst,10/03/2017,NULL,43.643945,-79.402667,King,Bathurst,13467722,201,0101000020E61000006B0BCF4BC5D953C01CB62DCA6CD24540,NULL,NULL,NULL,NULL
11,a6bc2032-5c74-437d-80bf-89b0d3e722ed,King / Portland,10/23/2017,06/15/2020,43.644448,-79.400078,King,Portland,13467654,1225,0101000020E61000005776C1E09AD953C07EFCA5457DD24540,NULL,NULL,NULL,NULL
12,151ee827-dd49-4ad4-af21-dde5d7032c21,King / Spadina,10/17/2017,NULL,43.645468,-79.395004,King,Spadina,13467505,273,0101000020E61000008272DBBE47D953C0A94E07B29ED24540,NULL,NULL,NULL,NULL
13,b663f373-9fe2-43ab-b75a-9a928396e4ae,King / Peter,10/17/2017,06/15/2020,43.646034,-79.392285,King,Peter,13467412,1152,0101000020E6100000876D8B321BD953C0520DFB3DB1D24540,NULL,NULL,NULL,NULL
14,1decb8d0-ba0e-4a48-9a5f-8bdd1457b490,King / Simcoe,10/17/2017,06/15/2020,43.647377,-79.386082,King,Simcoe,13467173,199,0101000020E6100000C1E44691B5D853C05F97E13FDDD24540,TRUE,NULL,NULL,NULL
15,b620ee58-3626-4dbe-9f2f-8d3235172bff,King / University,10/18/2017,NULL,43.647653,-79.384844,King,University,13467123,77,0101000020E6100000F583BA48A1D853C00114234BE6D24540,NULL,NULL,NULL,NULL
16,169471e1-c460-489a-9765-352c0803990b,King / York,10/23/2017,06/15/2020,43.64792,-79.383543,King,York,13467083,72,0101000020E61000000667F0F78BD853C05036E50AEFD24540,NULL,NULL,TRUE,NULL
17,218ca562-44fc-41d3-80ac-213db6672c9e,King / Bay,10/16/2017,NULL,43.648632,-79.380226,King,Bay,13466960,61,0101000020E6100000B0C56E9F55D853C0CD91955F06D34540,NULL,NULL,NULL,NULL
18,8eeecbf3-1d91-4ac9-8f08-ba95051ad77b,King / Yonge,10/18/2017,NULL,43.649173,-79.377894,King,Yonge,13466851,31,0101000020E6100000B2D6506A2FD853C01D39D21918D34540,NULL,NULL,NULL,NULL
19,f40a3677-31c9-445a-a339-7f35271a0e10,King / Church,10/23/2017,06/15/2020,43.64992,-79.374365,King,Church,13466729,16,0101000020E610000017F19D98F5D753C017821C9430D34540,NULL,NULL,NULL,NULL
20,02a90c2e-b428-4f89-9422-327c8c91671d,King / Jarvis,10/03/2017,NULL,43.650456,-79.371867,King,Jarvis,13466630,3,0101000020E61000008BDD3EABCCD753C055BE672442D34540,NULL,NULL,NULL,NULL
